canonical_smiles,name,organism,pathway,pAct_ACC2,pAct_DGAT2,pAct_FASN,pAct_FDFT1,pAct_FXR,pAct_HMGCR,pAct_LXRa,pAct_PPARG,pAct_SCD,pAct_THRb,top3_mean,max_pAct,tcm,n_active,MTS
C=CC(C)(C)[C@@]1(C[C@@H]2N=C(O)[C@]3(OC)CCCN3C2=O)C(O)=NC2=C1C=CC1=C2C=CC(C)(C)O1,"(3S,8aR)-1-hydroxy-3-[[(3R)-2-hydroxy-7,7-dimethyl-3-(2-methylbut-3-en-2-yl)pyrano[2,3-g]indol-3-yl]methyl]-8a-methoxy-6,7,8-trihydro-3H-pyrrolo[1,2-a]pyrazin-4-one",Acherontia atropus|Achillea macrophylla|Agave aurea|Ajuga spectabilis|Alstroemeria revoluta|Aspergillus sulphureus + Isaria felina|Astragalus tragacantha|Baphia nitida|Callistemon viminalis|Cissus pallidiflorus|Crataegus davisii|Crinum erubescens|Cupressus lawsoniana|Emilia sonchifolia|Encephalartos altensteinii|Eria foetida|Eupatorium havanense|Euphorbia kamerunica|Euphorbia marginata|Excoecaria oppositifolia|Gardenia collinsae|Grindelia acutifolia|Guanomyces polythrix|Gymnosporia senegalensis|Ircinia oros|Jungermannia hyalina|Kobresia nepalensis|Ligularia muliensis|Litsea aciculata|Litsea pulchella|Marrubium alysson|Melampodium heterophyllum|Myrmica sabuleti|Mytilus edulis|Nuphar lutea|Pausinystalia mayumbensis|Penicillium olsonii|Pentzia incana|Perilla frutescens var. arguta|Prangos pabularia|Pronephrium triphyllum|Selliguea feei|Shuteria involucrata var. vestita|Simaba multiflora|Sinocalamus affinis|Stevia chamaedrys|Teucrium oxylepis|Trifolium subterraneum|Trillium camschatcense|Ursinia abrotanifolia|Xenorhabdus bovienii,Alkaloids,7.18,7.47,5.44,6.42,6.69,5.57,5.69,5.4,4.94,7.06,7.24,7.47,栀子,4,28.4
CC(C)=CCC1=CC([C@@H]2OC3=C(C=CC4=C3C=CC(C)(C)O4)C(=O)[C@H]2O)=CC=C1O,,Glycyrrhiza glabra|liquorice,Shikimates and Phenylpropanoids,6.62,7.62,5.52,6.16,6.75,5.43,5.55,5.52,5.16,7.39,7.25,7.62,甘草,4,28.38
CC(C)=CCC1=CC([C@H]2OC3=C(C=CC4=C3C=CC(C)(C)O4)C(=O)[C@@H]2O)=CC=C1O,Kanzonol Z,Glycyrrhiza glabra|liquorice,Shikimates and Phenylpropanoids,6.62,7.62,5.52,6.16,6.75,5.43,5.55,5.52,5.16,7.39,7.25,7.62,甘草,4,28.38
C[C@@]12CC[C@@H]3[C@]4(CCC[C@]3(C)C(=O)OC4)[C@@H]1CC[C@]1(C)OC3=CC=C(O)C=C3C[C@@H]21,,Acacia discolor|Anzia opuntiella|Boehmeria platyphylla|Coleus scutellarioides|Enterospermum pruinosum|Gymnosporia arbutifolia|Lavandula pedunculata|Peltogyne venosa|Petrosia durissima|Rhamnus saxatilis|Stephania pierrei|Tanacetum chiliophyllum,Terpenoids,6.86,7.54,5.45,7.43,5.28,5.16,5.92,5.11,4.96,6.54,7.28,7.54,茯苓,4,28.37
O=C(O[C@H](CC1=CC=C(O)C(O)=C1)C(=O)O)C1=CC2=CC=C(O)C3=C2C(=C1C(=O)O[C@H](CC1=CC=C(O)C(O)=C1)C(=O)O)C1=CC(O)=C(O)C=C1O3,,Salvia yunnanensis,Shikimates and Phenylpropanoids,5.96,7.07,5.36,7.03,5.38,6.53,6.01,5.67,5.26,7.73,7.28,7.73,丹参,4,28.36
CC1(C)C=CC2=C3NC4=C(C[C@@]56N=C(O)[C@]7(CCCN7C5=O)C[C@H]6C4(C)C)C3=CC=C2O1,"(1~{S},17~{S},19~{S})-26-hydroxy-9,9,16,16-tetramethyl-8-oxa-14,23,25-triazaheptacyclo[17.5.2.0^{1,17}.0^{3,15}.0^{4,13}.0^{7,12}.0^{19,23}]hexacosa-3(15),4,6,10,12,25-hexaen-24-one",Acherontia atropus|Achillea macrophylla|Agave aurea|Ajuga spectabilis|Alstroemeria revoluta|Aspergillus sp.|Astragalus tragacantha|Baphia nitida|Callistemon viminalis|Cissus pallidiflorus|Crataegus davisii|Crinum erubescens|Cupressus lawsoniana|Emilia sonchifolia|Encephalartos altensteinii|Eria foetida|Eupatorium havanense|Euphorbia kamerunica|Euphorbia marginata|Excoecaria oppositifolia|Gardenia collinsae|Grindelia acutifolia|Guanomyces polythrix|Gymnosporia senegalensis|Ircinia oros|Jungermannia hyalina|Kobresia nepalensis|Ligularia muliensis|Litsea aciculata|Litsea pulchella|Marrubium alysson|Melampodium heterophyllum|Myrmica sabuleti|Mytilus edulis|Nuphar lutea|Pausinystalia mayumbensis|Penicillium olsonii|Pentzia incana|Perilla frutescens var. arguta|Prangos pabularia|Pronephrium triphyllum|Selliguea feei|Shuteria involucrata var. vestita|Simaba multiflora|Sinocalamus affinis|Stevia chamaedrys|Teucrium oxylepis|Trifolium subterraneum|Trillium camschatcense|Ursinia abrotanifolia|Xenorhabdus bovienii,Alkaloids,7.0,7.57,5.88,5.96,6.84,5.45,5.65,5.45,5.25,6.94,7.17,7.57,栀子,4,28.35
CC1=CC(=O)O/C1=C/[C@H](O)[C@@](C)(O)CC[C@@H]1[C@@]2(C)CCC[C@@](C)(C(=O)O)[C@@H]2CC[C@@]1(C)O,,Arthrobotrys oligospora|Bryum weigelii|Fritillaria thunbergii|Plantago cornuti|Plectranthus sylvestris|Salvia palaestina|Tephrosia egregia|Triopha carpenteri|Tulipa sylvestris|Vatica cinerea|Walsura chrysogyne,Terpenoids,7.14,7.67,4.41,6.6,5.23,5.26,5.95,6.93,5.06,5.54,7.25,7.67,丹参,4,28.34
CO[C@H]1C2=C(NC3=C4C=CC(C)(C)OC4=CC=C23)C(C)(C)[C@@H]2C[C@]34CCCN3C(=O)[C@]12N=C4O,"(1~{R},2~{S},17~{S},19~{S})-26-hydroxy-2-methoxy-9,9,16,16-tetramethyl-8-oxa-14,23,25-triazaheptacyclo[17.5.2.0^{1,17}.0^{3,15}.0^{4,13}.0^{7,12}.0^{19,23}]hexacosa-3(15),4,6,10,12,25-hexaen-24-one",Acherontia atropus|Achillea macrophylla|Agave aurea|Ajuga spectabilis|Alstroemeria revoluta|Aspergillus sp.|Astragalus tragacantha|Baphia nitida|Callistemon viminalis|Cissus pallidiflorus|Crataegus davisii|Crinum erubescens|Cupressus lawsoniana|Emilia sonchifolia|Encephalartos altensteinii|Eria foetida|Eupatorium havanense|Euphorbia kamerunica|Euphorbia marginata|Excoecaria oppositifolia|Gardenia collinsae|Grindelia acutifolia|Guanomyces polythrix|Gymnosporia senegalensis|Ircinia oros|Jungermannia hyalina|Kobresia nepalensis|Ligularia muliensis|Litsea aciculata|Litsea pulchella|Marrubium alysson|Melampodium heterophyllum|Myrmica sabuleti|Mytilus edulis|Nuphar lutea|Pausinystalia mayumbensis|Penicillium olsonii|Pentzia incana|Perilla frutescens var. arguta|Prangos pabularia|Pronephrium triphyllum|Selliguea feei|Shuteria involucrata var. vestita|Simaba multiflora|Sinocalamus affinis|Stevia chamaedrys|Teucrium oxylepis|Trifolium subterraneum|Trillium camschatcense|Ursinia abrotanifolia|Xenorhabdus bovienii,Alkaloids,7.06,7.52,5.67,6.07,6.81,5.48,5.41,6.09,5.19,6.94,7.17,7.52,栀子,4,28.33
CC1(C)C=CC2=C3NC4=C(C(=O)[C@@]56N=C(O)[C@]7(CCCN7C5=O)C[C@H]6C4(C)C)C3=CC=C2O1,"(1~{R},17~{S},19~{S})-26-hydroxy-9,9,16,16-tetramethyl-8-oxa-14,23,25-triazaheptacyclo[17.5.2.0^{1,17}.0^{3,15}.0^{4,13}.0^{7,12}.0^{19,23}]hexacosa-3(15),4,6,10,12,25-hexaene-2,24-dione",Acherontia atropus|Achillea macrophylla|Agave aurea|Ajuga spectabilis|Alstroemeria revoluta|Aspergillus sp.|Astragalus tragacantha|Baphia nitida|Callistemon viminalis|Cissus pallidiflorus|Crataegus davisii|Crinum erubescens|Cupressus lawsoniana|Emilia sonchifolia|Encephalartos altensteinii|Eria foetida|Eupatorium havanense|Euphorbia kamerunica|Euphorbia marginata|Excoecaria oppositifolia|Gardenia collinsae|Grindelia acutifolia|Guanomyces polythrix|Gymnosporia senegalensis|Ircinia oros|Jungermannia hyalina|Kobresia nepalensis|Ligularia muliensis|Litsea aciculata|Litsea pulchella|Marrubium alysson|Melampodium heterophyllum|Myrmica sabuleti|Mytilus edulis|Nuphar lutea|Pausinystalia mayumbensis|Penicillium olsonii|Pentzia incana|Perilla frutescens var. arguta|Prangos pabularia|Pronephrium triphyllum|Selliguea feei|Shuteria involucrata var. vestita|Simaba multiflora|Sinocalamus affinis|Stevia chamaedrys|Teucrium oxylepis|Trifolium subterraneum|Trillium camschatcense|Ursinia abrotanifolia|Xenorhabdus bovienii,Alkaloids,7.03,7.64,5.81,5.98,6.73,5.23,5.81,5.44,5.15,6.93,7.2,7.64,栀子,4,28.33
C=CC(C)(C)[C@@]12NC3=C(C=CC4=C3C=CC(C)(C)O4)[C@]1(O)C[C@H]1C(=O)N3CCC[C@H]3C(=O)N12,notoamide D,Acherontia atropus|Achillea macrophylla|Agave aurea|Ajuga spectabilis|Alstroemeria revoluta|Aspergillus|Aspergillus sp.|Aspergillus sulphureus|Aspergillus sulphureus + Isaria felina|Aspergillus versicolor NRRL 35600|Astragalus tragacantha|Baphia nitida|Beauveria felina|Callistemon viminalis|Cissus pallidiflorus|Crataegus davisii|Crinum erubescens|Cupressus lawsoniana|Emilia sonchifolia|Encephalartos altensteinii|Eria foetida|Eupatorium havanense|Euphorbia kamerunica|Euphorbia marginata|Excoecaria oppositifolia|Gardenia collinsae|Grindelia acutifolia|Guanomyces polythrix|Gymnosporia senegalensis|Ircinia oros|Jungermannia hyalina|Kobresia nepalensis|Ligularia muliensis|Litsea aciculata|Litsea pulchella|Marrubium alysson|Melampodium heterophyllum|Myrmica sabuleti|Mytilus edulis|Nuphar lutea|Pausinystalia mayumbensis|Penicillium olsonii|Pentzia incana|Perilla frutescens var. arguta|Prangos pabularia|Pronephrium triphyllum|Selliguea feei|Shuteria involucrata var. vestita|Simaba multiflora|Sinocalamus affinis|Stevia chamaedrys|Teucrium oxylepis|Trifolium subterraneum|Trillium camschatcense|Ursinia abrotanifolia|Xenorhabdus bovienii,Alkaloids,7.22,7.46,5.76,6.4,6.7,5.31,5.5,6.93,4.95,5.46,7.2,7.46,栀子,4,28.31
CC[C@H]1/C=C/[C@H](O)[C@H](C=C(C)C)OC(=O)/C(C)=C/C/C(O)=N/C2=CC(O)=CC3=C2O/C(=C\C(=O)CC1)C(C)=C3,"(2~{Z},5~{E},9~{S},10~{S},11~{E},13~{R},17~{Z})-13-ethyl-3,10,23-trihydroxy-6,19-dimethyl-9-(2-methylprop-1-enyl)-8,26-dioxa-2-azatricyclo[16.6.2.0^{21,25}]hexacosa-1(24),2,5,11,17,19,21(25),22-octaene-7,16-dione",Aegiceras corniculatum|Agaricus integer|Agaricus silvaticus|Ajuga bracteosa|Allium monspessulanum|Arbutus menziesii|Artemisia taurica|Bruguiera gymnorhiza|Buchenavia tetraphylla|Ceramium botryocarpum|Cereus chrysacanthus|Chromodoris obsoleta|Cinnamosma madagascariensis|Coeloseira pacifica|Daldinia concentrica|Echiochilon pauciflorum|Fumaria kraliki|Helichrysum nudifolium|Hyella caespitosa|Hypoxis nyasica|Isoberlinia angolensis|Justicia trinervia|Lepista irina|Macaranga sinensis|Mirabilis jalapa|Otostegia fruticosa|Paranephelius uniflorus|Pardachirus pavoninus|Periploca forrestii|Petalostemon purpureum|Plakinastrella clathrata|Podocarpus amarus|Potebniamyces gallicola|Pseudomonas chlororaphis|Ptilota pectinata|Rhododendron aureum|Saccharothrix mutabilis|Sipunculus nudus|Sonneratia alba|Sophora viciifolia|Stichopus horrens|Streptomyces atratus|Streptomyces caelestis|Tephroseris integrifolia|Teucrium orientale|Trichoderma citrinum|Ulva prolifera|Umbilicaria cinereorufescens|Veltheimia viridifolia|Xylopia aethiopica,Amino acids and Peptides,6.32,7.72,4.37,6.18,6.93,4.99,5.78,6.56,4.9,7.1,7.25,7.72,茵陈/青蒿,4,28.31
CC1(C)C=CC2=C3NC4=C(C3=CC=C2O1)[C@H](O)[C@@]12N=C(O)[C@]3(CCCN3C1=O)C[C@H]2C4(C)C,"(1~{R},2~{S},17~{S},19~{S})-2,26-dihydroxy-9,9,16,16-tetramethyl-8-oxa-14,23,25-triazaheptacyclo[17.5.2.0^{1,17}.0^{3,15}.0^{4,13}.0^{7,12}.0^{19,23}]hexacosa-3(15),4,6,10,12,25-hexaen-24-one",Acherontia atropus|Achillea macrophylla|Agave aurea|Ajuga spectabilis|Alstroemeria revoluta|Aspergillus sp.|Astragalus tragacantha|Baphia nitida|Callistemon viminalis|Cissus pallidiflorus|Crataegus davisii|Crinum erubescens|Cupressus lawsoniana|Emilia sonchifolia|Encephalartos altensteinii|Eria foetida|Eupatorium havanense|Euphorbia kamerunica|Euphorbia marginata|Excoecaria oppositifolia|Gardenia collinsae|Grindelia acutifolia|Guanomyces polythrix|Gymnosporia senegalensis|Ircinia oros|Jungermannia hyalina|Kobresia nepalensis|Ligularia muliensis|Litsea aciculata|Litsea pulchella|Marrubium alysson|Melampodium heterophyllum|Myrmica sabuleti|Mytilus edulis|Nuphar lutea|Pausinystalia mayumbensis|Penicillium olsonii|Pentzia incana|Perilla frutescens var. arguta|Prangos pabularia|Pronephrium triphyllum|Selliguea feei|Shuteria involucrata var. vestita|Simaba multiflora|Sinocalamus affinis|Stevia chamaedrys|Teucrium oxylepis|Trifolium subterraneum|Trillium camschatcense|Ursinia abrotanifolia|Xenorhabdus bovienii,Alkaloids,7.05,7.57,5.74,5.99,6.79,5.22,5.63,5.56,5.07,6.9,7.17,7.57,栀子,4,28.31
CC1(C)C=CC2=C(O)C(C[C@@H](O)C(C)(C)O)=C3OC=C(C4=CC=C(O)C=C4)C(=O)C3=C2O1,,Absidia caerulea|Alsidium corallinum|Anthotroche myoporoides|Astragalus flexus|Axinella weltneri|Dactynotus ambrosiae|Erythrina vogelii|Galdieria sulphuraria|Helenium virginicum|Heliotropium digynum|Hypericum caprifoliatum|Lactococcus lactis|Nannoglottis ravida|Phyllidia ocellata,Shikimates and Phenylpropanoids,6.87,7.7,5.35,6.59,5.51,7.14,5.73,5.45,5.25,6.39,7.24,7.7,地耳草/田基黄,4,28.3
O=C(/C=C/C1=CC=C(O)C2=C1C=CC1=CC(O)=C(O)C=C1O2)O[C@H](CC1=CC=C(O)C(O)=C1)C(=O)O,isosalvianolic acid C,Angelica keiskei|Gouania tomentosa|Heliotropium sarmentosum|Salvia cavaleriei|Salvia chinensis|Salvia miltiorrhiza|Salvia prionitis|Spongia vermicularis|Tournefortia sarmentosa,Shikimates and Phenylpropanoids,6.23,6.93,5.23,6.91,5.46,6.5,6.06,5.55,5.29,7.96,7.27,7.96,丹参,4,28.3
O=C(/C=C/C1=C[C@@H]2C(C3=CC=C(O)C(O)=C3)[C@@H](C(=O)O)[C@H]1[C@]1(O)OC(=O)C[C@]21O)O[C@H](CC1=CC=C(O)C(O)=C1)C(=O)O,Yunnaneic acid F,Salvia yunnanensis,Shikimates and Phenylpropanoids,6.79,7.61,5.38,6.5,5.52,5.81,5.84,5.82,5.22,7.4,7.27,7.61,丹参,4,28.3
O=C(/C=C/C1=C[C@@H]2[C@H](C3=CC=C(O)C(O)=C3)[C@@H](C(=O)O)[C@H]1[C@]1(O)OC(=O)C[C@]21O)O[C@H](CC1=CC=C(O)C(O)=C1)C(=O)O,,Salvia yunnanensis,Shikimates and Phenylpropanoids,6.79,7.61,5.38,6.5,5.52,5.81,5.84,5.82,5.22,7.4,7.27,7.61,丹参,4,28.3
O=C(/C=C/C1=C[C@@H]2[C@@H](C3=CC=C(O)C(O)=C3)[C@@H](C(=O)O)[C@H]1[C@]1(O)OC(=O)C[C@]21O)O[C@H](CC1=CC=C(O)C(O)=C1)C(=O)O,,Melissa officinalis|Salvia yunnanensis,Shikimates and Phenylpropanoids,6.79,7.61,5.38,6.5,5.52,5.81,5.84,5.82,5.22,7.4,7.27,7.61,丹参,4,28.3
CC1(C)C=CC2=C(C=C(O)C3=C2OC2=C(O)C(O[C@@H]4C5=C6OC7=C(O)C(O)=CC=C7C(=O)C6=C(O)C=C5O[C@H]4C(C)(C)O)=CC=C2C3=O)O1,Jacarelhyperol A,Hypericum japonicum,Shikimates and Phenylpropanoids,6.9,7.57,5.17,6.44,6.63,5.66,5.69,5.41,5.12,7.19,7.22,7.57,地耳草/田基黄,4,28.29
C=CCC1=CC=CC(OC2=CC(CC=C)=CC=C2O)=C1,,Gentiana tibetica|Illicium fargesii|Illicium simonsii|Illicium verum|Magnolia biloba|Magnolia officinalis|Streblus asper,Shikimates and Phenylpropanoids,6.41,7.09,5.15,6.09,5.23,6.29,6.87,6.56,5.36,7.77,7.24,7.77,龙胆/秦艽,4,28.29
CC1(C)C=CC2=C(C=C(O)C3=C2OC2=C(O)C(O[C@H]4C5=C6OC7=C(O)C(O)=CC=C7C(=O)C6=C(O)C=C5O[C@H]4C(C)(C)O)=CC=C2C3=O)O1,,Hypericum japonicum,Shikimates and Phenylpropanoids,6.9,7.57,5.17,6.44,6.63,5.66,5.69,5.41,5.12,7.19,7.22,7.57,地耳草/田基黄,4,28.29
CC1(C)C=CC2=C(C=C(O)C3=C2OC2=C(O)C(O[C@@H]4C5=C6OC7=C(O)C(O)=CC=C7C(=O)C6=C(O)C=C5O[C@@H]4C(C)(C)O)=CC=C2C3=O)O1,,Hypericum japonicum,Shikimates and Phenylpropanoids,6.9,7.57,5.17,6.44,6.63,5.66,5.69,5.41,5.12,7.19,7.22,7.57,地耳草/田基黄,4,28.29
COC1=C(O)C=CC([C@@H]2COC3=C(C=CC4=C3C=CC(C)(C)O4)C2)=C1O,3'-Methoxyglabradin,Glycyrrhiza Uralensis|Glycyrrhiza uralensis|Lentinus tigrinus|Mitracarpus scaber|liquorice,Shikimates and Phenylpropanoids,5.94,6.93,5.31,6.13,6.79,6.86,5.75,5.24,5.06,7.71,7.17,7.71,甘草,4,28.29
CC1(C)C=CC2=C(C=CC3=C2OC2=C(O)C(O[C@H]4C5=C6OC7=C(O)C(O)=CC=C7C(=O)C6=C(O)C=C5O[C@H]4C(C)(C)O)=CC(O)=C2C3=O)O1,,Hypericum henryi|Hypericum japonicum,Shikimates and Phenylpropanoids,6.91,7.57,5.27,6.44,6.63,5.68,5.67,5.38,5.13,7.18,7.22,7.57,地耳草/田基黄,4,28.29
COC1=C(O)C=CC([C@H]2COC3=C(C=CC4=C3C=CC(C)(C)O4)C2)=C1O,,Glycyrrhiza glabra var. typica|Glycyrrhiza uralensis,Shikimates and Phenylpropanoids,5.94,6.93,5.31,6.13,6.79,6.86,5.75,5.24,5.06,7.71,7.17,7.71,甘草,4,28.29
O=C1C=C2[C@H]3[C@H](C4=CC=C(O)C=C4)C4=C(O)C=C(O)C=C4[C@H]3[C@H](C3=CC=C(O)C=C3)[C@]23C(=O)[C@H]1[C@H](C1=CC(O)=CC(O)=C1)[C@H]3C1=CC=C(O)C=C1,,Sophora leachiana,Shikimates and Phenylpropanoids,6.58,7.47,5.16,7.44,5.62,5.58,6.44,5.12,5.16,6.79,7.23,7.47,苦参/槐,4,28.28
O=C(/C=C/C1=CC(O)=C(O)C=C1/C(=C\C1=CC=C(O)C(O)=C1)C(=O)O[C@H](CC1=CC=C(O)C(O)=C1)C(=O)O)O[C@H](CC1=CC=C(O)C(O)=C1)C(=O)O,,Salvia miltiorrhiza,Shikimates and Phenylpropanoids,6.17,7.04,5.34,6.52,5.37,6.52,5.93,5.51,5.29,8.19,7.25,8.19,丹参,4,28.27
CC1(C)C=CC2=C(C=CC3=C2OC=C(C2=CC=C4OCOC4=C2)C3=O)O1,Calopogoniumisoflavone B,Agaricus campestris|Artabotrys hexapetalus|Calophyllum macrocarpum|Celsia roripifolia|Dacus cucumis|Didemnum moseleyi|Diplorhynchus condylocarpon|Hapalopilus rutilans|Hydrangea arborescens|Isodon rubescens|Jatropha multifida|Lemaireocereus thurberi|Lophostemon confertus|Millettia dura|Millettia griffoniana|Millettia pachyloba|Moneses uniflora|Sarcococca wallichii|Scutellaria planipes|Siparuna apiosyce|Swartzia schomburgkii|Tephrosia pumila|Vincetoxicum nigrum,Shikimates and Phenylpropanoids,6.76,7.59,5.51,6.17,6.87,7.03,5.19,5.22,5.13,5.98,7.16,7.59,香茶菜/冬凌草,4,28.25
COC1=CC(/C=C/C(=O)O[C@H]2[C@@H]3C=CO[C@@H](O[C@@H]4O[C@@H](CO)[C@H](O)[C@H](O)[C@H]4O)[C@H]3[C@]3(CO)O[C@H]23)=CC=C1O,,Picrorhiza scrophulariiflora,Terpenoids,6.66,7.52,5.38,6.22,6.71,5.93,5.64,5.45,5.2,7.35,7.19,7.52,胡黄连,4,28.24
COC1=CC(/C=C/C(=O)O[C@H]2[C@@H]3C=CO[C@@H](O[C@H]4O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]4O)[C@@H]3[C@@]3(CO)O[C@@H]23)=CC=C1O,,Picrorhiza kurroa|Picrorhiza kurrooa|Picrorhiza scrophulariiflora,Terpenoids,6.66,7.52,5.38,6.22,6.71,5.93,5.64,5.45,5.2,7.35,7.19,7.52,胡黄连,4,28.24
CC1=CC(=O)O/C1=C/[C@H](O)[C@@](C)(O)CC[C@@H]1[C@@]2(C)CC[C@H](O)C(C)(C)[C@@H]2CC[C@@]1(C)O,"(5E)-5-[(2S,3S)-5-[(1R,2R,4aR,6S,8aS)-2,6-dihydroxy-2,5,5,8a-tetramethyl-3,4,4a,6,7,8-hexahydro-1H-naphthalen-1-yl]-2,3-dihydroxy-3-methylpentylidene]-4-methylfuran-2-one",Arthrobotrys oligospora|Bryum weigelii|Fritillaria thunbergii|Plantago cornuti|Plectranthus sylvestris|Salvia palaestina|Tephrosia egregia|Triopha carpenteri|Tulipa sylvestris|Vatica cinerea|Walsura chrysogyne,Terpenoids,7.11,7.63,4.37,6.63,5.08,5.43,5.85,6.87,5.07,5.6,7.2,7.63,丹参,4,28.24
COC1=CC(/C=C/C(=O)O[C@H]2[C@@H]3C=CO[C@@H](O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)[C@@H]3[C@@]3(CO)O[C@@H]23)=CC=C1O,6-Feruloylcatalpol,Catalpa ovata|Gentiana kurroo|Hesperocyparis bakeri|Neofusicoccum mangiferae|Neopicrorhiza scrophulariiflora|Panax quinquefolius|Phyllanthus tenellus|Picrorhiza kurrooa|Picrorhiza scrophulariiflora|Rehmannia chingii|Scutellaria albida|Stereospermum colais|Stereospermum tetragonum|Veronica lavaudiana|Veronica pulvinaris|Veronica thomsonii,Terpenoids,6.66,7.52,5.38,6.22,6.71,5.93,5.64,5.45,5.2,7.35,7.19,7.52,叶下珠,4,28.24
COC(=O)[C@@]1(C)CC[C@]2(C)CC[C@]3(C)C(=CC(=O)[C@@H]4[C@@]5(C)CC[C@H](O)[C@](C)(CO)[C@@H]5CC[C@]43C)[C@@H]2C1,,Glycyrrhiza uralensis|Lentinus tigrinus|Mitracarpus scaber,Terpenoids,6.65,7.47,4.51,7.44,5.07,5.22,6.06,5.45,5.2,6.66,7.19,7.47,甘草,4,28.22
COC(=O)[C@@]1(C)CC[C@]2(C)CCC3(C)C(=CC(=O)C4[C@@]5(C)CC[C@H](O)[C@](C)(CO)C5CC[C@]43C)[C@@H]2C1,,Glycyrrhiza uralensis,Terpenoids,6.65,7.47,4.51,7.44,5.07,5.22,6.06,5.45,5.2,6.66,7.19,7.47,甘草,4,28.22
C=C(C)[C@H](O)CC1=CC([C@@H]2CC(=O)C3=CC=C(O)C(CC=C(C)C)=C3O2)=CC2=C1OC(C)(C)C=C2,,Sophora tonkinensis,Shikimates and Phenylpropanoids,6.5,7.56,5.54,6.18,6.8,5.38,5.69,6.03,5.18,7.36,7.24,7.56,苦参/槐,4,28.22
O=C(/C=C/C1=C[C@@H]2[C@H](C3=CC=C(O)C(O)=C3)[C@@H](C(=O)O)[C@H]1C(=O)[C@]21O[C@@H]2[C@@H]3C=C(/C=C/C(=O)O[C@H](CC4=CC=C(O)C(O)=C4)C(=O)O)[C@@H]([C@H](C(=O)O)[C@H]3C3=CC=C(O)C(O)=C3)[C@]2(O)O1)O[C@H](CC1=CC=C(O)C(O)=C1)C(=O)O,,Salvia yunnanensis,Shikimates and Phenylpropanoids,6.77,7.46,5.41,6.6,5.46,5.96,6.15,4.98,5.21,7.38,7.2,7.46,丹参,4,28.21
CC(C)=CCC1=C(O)C=CC2=C1O[C@H](C1=CC=C3OC(C)(C)C=CC3=C1)CC2=O,"(2S)-2-(2,2-dimethylchromen-6-yl)-7-hydroxy-8-(3-methylbut-2-enyl)-2,3-dihydrochromen-4-one",Euchresta formosana|Glycyrrhiza glabra|Glycyrrhiza inflata|liquorice,Shikimates and Phenylpropanoids,6.5,7.52,5.47,5.62,6.8,5.31,5.68,6.01,5.17,7.39,7.24,7.52,甘草,4,28.21
O=C(O[C@H]1[C@@H]2C=CO[C@@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@@H]2[C@@]2(CO)O[C@@H]12)C1=CC=C(O)C(O)=C1,Verproside,Adenium somalense|Antidesma pentandrum|Aspergillus caelatus|Atroxima afzeliana|Besseya alpina|Cladophora rupestris|Diacarnus levii|Dianella tasmanica|Elattostachys apetala|Eritrichium incanum|Eusideroxylon zwageri|Garcinia subelliptica|Geigeria plumosa|Goodenia strophiolata|Heterophyllaea pustulata|Iostephane heterophylla|Isertia haenkeana|Jasonia tuberosa|Juncus effusus|Kandelia candel|Lecidea kochiana|Lindera pipericarpa|Myroxylon peruiferum|Ononis hircina|Paederota lutea|Petrosia weinbergi|Pithecellobium albicans|Plectranthus comosus|Preussia australis|Rhodiola coccinea|Scutellaria racemosa|Solanum mauritianum|Solanum unguiculatum|Tovomita brasiliensis|Vellozia declinans|Ventilago goughii|Veronica austriaca|Veronica cymbalaria|Veronica filiformis|Veronica fuhsii|Veronica kellereri|Veronica lavaudiana|Veronica liwanensis|Veronica longifolia|Veronica officinalis|Veronica persica|Veronica pulvinaris|Veronica thomsonii|Veronica turrilliana|Viburnum lantanoides|Vicia hirsuta|blue water-speedwell,Terpenoids,6.61,7.59,5.43,5.94,6.67,5.92,5.74,5.38,5.4,7.34,7.2,7.59,黄芩,4,28.21
CC1(C)CC[C@]2(C)CC[C@]3(C)C(=CC(=O)[C@@H]4[C@@]5(C)CC[C@H](OC(=O)/C=C/C6=CC(O)=CC(O)=C6)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1,,Curcuma kwangsiensis|Dalea tinctoria|Drypetes tessmanniana|Excoecaria agallocha|Hedeoma pulegioides|Lolium cuneatum|Penstemon richardsonii|Porophyllum riedelii|Salvia infuscata|Symphytum asperum,Terpenoids,6.71,7.44,4.4,7.4,5.35,5.62,5.89,5.47,5.12,6.66,7.18,7.44,丹参,4,28.21
CC(C)=CCC1=CC([C@H]2CC(=O)C3=CC=C(O)C(CC=C(C)C)=C3O2)=CC2=C1OC(C)(C)C=C2,,Sophora subprostrata,Shikimates and Phenylpropanoids,6.51,7.55,5.52,5.63,6.76,5.31,5.67,6.06,5.15,7.39,7.23,7.55,苦参/槐,4,28.21
