identifier,canonical_smiles,name,chemical_super_class,np_classifier_pathway,np_classifier_superclass,np_classifier_class,organisms,dois,organism,pathway,pAct_ACC2,pAct_DGAT2,pAct_FASN,pAct_FDFT1,pAct_FXR,pAct_HMGCR,pAct_LXRa,pAct_PPARG,pAct_SCD,pAct_THRb,top3_mean,max_pAct,mw,logp,hbd,hba,obscure,composite
CNP0548286.1,CC(=O)O[C@H]1[C@@H](O)[C@H](OC2=CC=C3C(O)=C(NC(=O)C4=CC(O)=C(O)C(CC=C(C)C)=C4)C(=O)OC3=C2C)OC(C)(C)[C@@H]1O,"[(3R,4R,5R,6R)-6-[3-[[3,4-dihydroxy-5-(3-methylbut-2-enyl)benzoyl]amino]-4-hydroxy-8-methyl-2-oxochromen-7-yl]oxy-3,5-dihydroxy-2,2-dimethyloxan-4-yl] acetate",Phenylpropanoids and polyketides,Shikimates and Phenylpropanoids,Coumarins,Simple coumarins,Marine Bacteria (Unclassified),10.1021/acs.jnatprod.6b00235,Marine Bacteria (Unclassified),Shikimates and Phenylpropanoids,6.71,7.45,5.45,6.07,5.54,5.58,5.79,6.18,5.36,6.65,6.94,7.45,613.6160000000003,3.1464200000000013,6,12,2.0,9.02
CNP0332681.5,CO[C@H]1C2=CC(C(C)C)=C(O)C(O)=C2[C@]23CCCC(C)(C)[C@@H]2[C@@H]1OC3=O,,Lipids and lipid-like molecules,Terpenoids,Diterpenoids,Abietane diterpenoids,Rosmarinus officinalis|Salvia officinalis|Salvia pachyphylla,10.1021/NP060279I,Rosmarinus officinalis|Salvia officinalis|Salvia pachyphylla,Terpenoids,7.04,7.47,4.39,6.03,5.3,5.46,5.7,5.08,5.11,6.3,6.94,7.47,360.4500000000001,3.911800000000004,2,5,2.0,9.02
CNP0594880.2,C=C(CC[C@@H](C)[C@H]1CC[C@@]2(O)C3=C(C(=O)C[C@]12C)[C@@]1(C)CCC(=O)[C@@H](C)[C@@H]1CC3)C(C)C,Antcamphorol K,Lipids and lipid-like molecules,Terpenoids,Steroids,Ergostane steroids,Antrodia camphorata|Taiwanofungus camphoratus,10.1021/ACS.JNATPROD.9B00580|10.1021/acs.jnatprod.9b00580,Antrodia camphorata|Taiwanofungus camphoratus,Terpenoids,7.12,7.6,4.37,6.1,5.46,5.29,5.61,5.29,5.22,5.65,6.94,7.6,440.6680000000003,6.447000000000007,1,3,2.0,9.02
CNP0332856.1,C=C(CO)[C@@]12O[C@@H]1[C@@]1(C)C(=CC2=O)[C@H](O)CC[C@@H]1C,"xylarenone A, (rel)-",Lipids and lipid-like molecules,Terpenoids,Sesquiterpenoids,Eremophilane sesquiterpenoids,Cordiera macrophylla|Endophytic fungi|Xylaria|Xylaria sp. (strain NCY2),10.1002/HLCA.200890011|10.1002/hlca.200890011|10.1021/NP1005983|10.1021/np1005983,Cordiera macrophylla|Endophytic fungi|Xylaria|Xylaria sp. (strain NCY2),Terpenoids,6.41,7.47,4.47,5.8,5.15,5.2,5.48,4.92,5.11,5.8,6.56,7.47,264.32099999999997,0.9786999999999999,2,4,2.5,9.02
CNP0332681.8,COC1C2=CC(C(C)C)=C(O)C(O)=C2[C@@]23CCCC(C)(C)[C@@H]2[C@@H]1OC3=O,,,Terpenoids,Diterpenoids,Abietane diterpenoids,Rosmarinus officinalis,10.1271/BBB.61.1440,Rosmarinus officinalis,Terpenoids,7.04,7.47,4.39,6.03,5.3,5.46,5.7,5.08,5.11,6.3,6.94,7.47,360.4500000000001,3.911800000000004,2,5,2.0,9.02
CNP0149835.2,COC(=O)/C(=C\C1=C(C(=O)O)[C@]23CCCC(C)(C)[C@H]2[C@@H](OC3=O)C1=O)C(C)C,,,Terpenoids,Sesquiterpenoids,,Rosmarinus officinalis,10.1271/BBB.61.1440,Rosmarinus officinalis,Terpenoids,6.98,7.59,4.46,6.24,5.6,5.3,5.65,5.46,5.03,5.54,6.94,7.59,390.43200000000013,2.4438000000000004,1,6,2.0,9.02
CNP0237760.1,C=C(CC[C@@H](C)[C@H]1CC[C@H]2[C@H](CCC3=CC(O)=CC=C3C)C(=O)CC[C@]12C)C(C)C,"(1R,3aS,4S,7aR)-4-[2-(5-hydroxy-2-methylphenyl)ethyl]-7a-methyl-1-[(2R)-6-methyl-5-methylideneheptan-2-yl]-2,3,3a,4,6,7-hexahydro-1H-inden-5-one",Lipids and lipid-like molecules,Terpenoids,Steroids,Ergostane steroids,gorgonian astrogorgia sp.,10.1016/j.bmc.2011.09.028,gorgonian astrogorgia sp.,Terpenoids,6.97,7.41,5.37,6.22,5.55,5.31,5.75,5.34,5.24,6.43,6.94,7.41,410.6420000000003,7.273320000000009,1,2,2.0,9.02
CNP0320374.0,O=C1C2=CC=CC=C2C(=O)C2=C1C=CC(CO)=C2O,Digiferruginol,Benzenoids,Polyketides,Polycyclic aromatic polyketides,Anthraquinones and anthrones,Acalypha australis|Bistorta officinalis|Chara corallina|Cinchona calisaya|Cinchona ledgeriana|Cinchona pubescens|Cinchona sp.|Cinchona spp.|Damnacanthus indicus|Digitalis ferruginea|Digitalis isabelliana|Euphorbia ingens|Galium verum|Geranium pratense|Gynochthodes parvifolia|Hedyotis Capitellata|Hedyotis capitellata|Isoplexis isabelliana|Knoxia valerianoides|Monilinia fructigena|Morinda Parvifolia|Morinda citrifolia|Morinda officinalis|Morinda parvifolia|Ophiorrhiza pumila|Perna viridis|Phyllanthus emblica|Plocama pendula|Primulina eburnea|Rubia Cordifolia|Rubia alata|Rubia cordifolia|Rubia lanceolata|Rubia pubescens|Rubia wallichiana|Siphonaria funiculata|Solanum curtipes|Stachys recta|Streptocarpus dunnii,10.1002/CBDV.200800047|10.1002/JCCS.199500117|10.1007/s10600-017-2165-2|10.1016/0031-9422(92)83662-I|10.1016/0031-9422(94)00579-I|10.1016/J.PHYTOCHEM.2005.02.023|10.1016/S0031-9422(00)81567-8|10.1016/S0031-9422(00)83480-9|10.1016/S0031-9422(00)86973-3|10.1016/S0031-9422(97)00614-6|10.1016/S0031-9422(99)00450-1|10.1016/S0040-4039(01)97561-6|10.1016/j.phytol.2015.11.006|10.1021/NP049632F|10.1248/CPB.30.2265|10.1248/CPB.41.1869|10.1248/CPB.51.948,Acalypha australis|Bistorta officinalis|Chara corallina|Cinchona calisaya|Cinchona ledgeriana|Cinchona pubescens|Cinchona sp.|Cinchona spp.|Damnacanthus indicus|Digitalis ferruginea|Digitalis isabelliana|Euphorbia ingens|Galium verum|Geranium pratense|Gynochthodes parvifolia|Hedyotis Capitellata|Hedyotis capitellata|Isoplexis isabelliana|Knoxia valerianoides|Monilinia fructigena|Morinda Parvifolia|Morinda citrifolia|Morinda officinalis|Morinda parvifolia|Ophiorrhiza pumila|Perna viridis|Phyllanthus emblica|Plocama pendula|Primulina eburnea|Rubia Cordifolia|Rubia alata|Rubia cordifolia|Rubia lanceolata|Rubia pubescens|Rubia wallichiana|Siphonaria funiculata|Solanum curtipes|Stachys recta|Streptocarpus dunnii,Polyketides,6.46,7.83,5.74,6.19,5.35,5.58,5.57,5.61,5.21,6.54,6.94,7.83,254.24099999999996,1.6599000000000004,2,4,2.0,9.02
CNP0231536.2,C=CC(C)(C)C1=CC=C2C3=C1NC=C3C[C@@H](CO[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)NC(=O)C([C@@H](C)CC)N2C,,Organic acids and derivatives,Alkaloids,Tryptophan alkaloids,Indole-Diterpenoid alkaloids (Penitrems),Marinactinospora thermotolerans,10.1039/c2np20112g,Marinactinospora thermotolerans,Alkaloids,6.77,7.59,5.4,6.24,6.46,5.32,5.6,5.71,5.14,5.44,6.94,7.59,545.6770000000001,1.3398000000000003,6,8,2.0,9.02
CNP0073274.1,COC(=O)CCC1=CC2=C(CO1)C(=O)[C@@](C)(O)[C@@H](OC(=O)C1=C(C)C=C(O)C=C1O)C2,Montagnuphilone G,Organoheterocyclic compounds,Polyketides,Chromanes,Azaphilones,Unknown-fungus sp. DM0194,10.1021/acs.jnatprod.6b00714,Unknown-fungus sp. DM0194,Polyketides,6.48,7.69,4.48,5.76,5.48,5.62,5.89,5.46,5.02,6.64,6.94,7.69,432.42500000000024,1.8193199999999996,3,9,2.0,9.02
CNP0587781.1,C/C=C/CC/C=C(/C)C(O)CC/C(C)=C/C=C(\C)C(=O)C1=C(O)OC(C(C)CC/C=C/NC(=O)OC)=CC1=O,,,Polyketides,Cyclic polyketides,,Corallococcus coralloides,10.7164/ANTIBIOTICS.38.145,Corallococcus coralloides,Polyketides,6.36,7.59,4.48,6.14,6.01,5.93,5.79,5.62,5.28,6.86,6.94,7.59,541.6850000000003,6.617800000000008,3,7,2.0,9.02
CNP0544921.3,C=C(CC[C@@H](C)[C@H]1CC[C@H]2C3=CC[C@H]4[C@H](C)C(=O)CC[C@]4(C)C3=C[C@@H](O)[C@]12C)C(C)C,Antcamphorol F,Lipids and lipid-like molecules,Terpenoids,Steroids,Ergostane steroids,Antrodia camphorata|Taiwanofungus camphoratus,10.1021/ACS.JNATPROD.9B00580|10.1021/acs.jnatprod.9b00580,Antrodia camphorata|Taiwanofungus camphoratus,Terpenoids,7.06,7.61,4.38,6.15,4.97,5.29,5.6,5.29,5.31,5.7,6.94,7.61,424.66900000000027,6.899900000000009,1,2,2.0,9.02
CNP0544921.4,C=C(CC[C@@H](C)[C@H]1CC[C@H]2C3=CC[C@H]4[C@H](C)C(=O)CC[C@]4(C)C3=C[C@H](O)[C@]12C)C(C)C,Antcamphorol G,Lipids and lipid-like molecules,Terpenoids,Steroids,Ergostane steroids,Antrodia camphorata|Taiwanofungus camphoratus,10.1021/ACS.JNATPROD.9B00580|10.1021/acs.jnatprod.9b00580,Antrodia camphorata|Taiwanofungus camphoratus,Terpenoids,7.06,7.61,4.38,6.15,4.97,5.29,5.6,5.29,5.31,5.7,6.94,7.61,424.66900000000027,6.899900000000009,1,2,2.0,9.02
CNP0454763.1,COC1=C(NCCCCC(N)C(=O)O)C[C@@](O)(CO)CC1=O,,Organic acids and derivatives,Amino acids and Peptides,Mycosporine derivatives,Mycosporine and Mycosporine-like amino acids,Calothrix (illegit. fungus)|Gloeocapsa,10.1128/AEM.01633-16,Calothrix (illegit. fungus)|Gloeocapsa,Amino acids and Peptides,6.79,7.69,4.46,6.33,5.48,5.57,5.64,5.3,5.5,5.65,6.94,7.69,316.3540000000001,-0.8974999999999982,5,7,2.0,9.02
CNP0362344.1,OC1=CC=C2NC3=C(C4=C[C@@]5(O)CC/C=C\CCCCN6CC[C@@H]4[C@@]4(C6)C[C@@]67CC[C@@H](CCCN6[C@H]45)O7)N=CC=C3C2=C1,Manzamine X,Alkaloids and derivatives,Alkaloids,Tryptophan alkaloids,Carboline alkaloids,Acanthostrongylophora sp.|Petrosiidae|Xestospongia|Xestospongia sp.|sponge sp.,10.1016/0040-4020(95)95723-9|10.1021/NP020592U|10.1021/np020592u|10.1021/np0400095|10.1039/np9971400259,Acanthostrongylophora sp.|Petrosiidae|Xestospongia|Xestospongia sp.|sponge sp.,Alkaloids,6.36,7.37,5.73,6.06,5.89,5.28,5.91,6.57,5.17,6.88,6.94,7.37,580.7730000000005,6.121800000000007,3,6,2.0,9.02
CNP0211423.6,CC1CCC/C=C\C(=O)C2=C(O)C=C(O)C=C2CC(=O)O1,,,Polyketides,Macrolides,Zearalenones,Unknown-fungus sp.,10.1039/j39670000947,Unknown-fungus sp.,Polyketides,6.56,7.58,4.44,5.6,5.25,5.21,5.92,5.54,5.17,6.67,6.94,7.58,290.31500000000005,2.4948000000000006,2,5,2.0,9.02
CNP0267804.1,CC1=CC=C(O)C=C1CC[C@@H]1C(=O)CC[C@]2(C)[C@@H]([C@H](C)/C=C/CC(C)C)CC[C@@H]12,calicoferol A,Lipids and lipid-like molecules,Terpenoids,Steroids,Vitamin D3 and derivatives,Calicogorgia|Calicogorgia sp.|gorgonian astrogorgia sp.,10.1016/j.bmc.2011.09.028|10.1039/np9931000497|10.1246/CL.1991.427,Calicogorgia|Calicogorgia sp.|gorgonian astrogorgia sp.,Terpenoids,6.94,7.38,5.37,6.29,5.44,5.18,5.65,5.33,5.2,6.46,6.93,7.38,396.6150000000002,6.883220000000007,1,2,2.0,9.01
CNP0323650.1,CO[C@@H]1[C@@H](OC(N)=O)[C@@H](O)[C@H](OC2=CC=C3C(O)=C(NC(=O)C4=CC(O)=C(O)C(CC=C(C)C)=C4)C(=O)OC3=C2C)OC1(C)C,5-Hydroxynovobiocin,Phenylpropanoids and polyketides,Shikimates and Phenylpropanoids,Coumarins,Simple coumarins,Marine Bacteria (Unclassified)|Streptomyces|Streptomyces sp. RJA2961,10.1371/JOURNAL.PONE.0077078|10.1371/journal.pone.0077078,Marine Bacteria (Unclassified)|Streptomyces|Streptomyces sp. RJA2961,Shikimates and Phenylpropanoids,6.6,7.44,5.45,6.34,5.55,5.6,5.77,6.15,5.35,6.75,6.93,7.44,628.6310000000002,3.332720000000002,6,12,2.0,9.01
CNP0221054.1,CC(O)C1C(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)OC=C2C(=O)OCCC21,,Organoheterocyclic compounds,Terpenoids,Monoterpenoids,Iridoids monoterpenoids,Gentiana tibetica|Rosmarinus officinalis,,Gentiana tibetica|Rosmarinus officinalis,Terpenoids,6.58,7.61,4.44,6.6,5.17,5.36,5.51,5.45,5.08,5.94,6.93,7.61,376.35800000000023,-2.396799999999998,5,10,2.0,9.01
CNP0396395.1,CC(C)=CCC/C(C)=C/C[C@@]12OC(C)(C)[C@H](Cl)C[C@]1(Cl)C(=O)C1=C(O)C=C(O)C=C1C2=O,Napyradiomycin A1,Lipids and lipid-like molecules,Terpenoids,Meroterpenoids,,Chainia rubra MGS02-AFI|Marine Bacteria (Unclassified)|Streptomyces|Streptomyces CNH-070|Streptomyces CNQ-329|Streptomyces CNQ-525|Streptomyces SCSIO 10428|Streptomyces aculeolatus|Streptomyces antimycoticus|Streptomyces antimycoticus NT17|Streptomyces aureus|Streptomyces aureus NCTC8325-4|Streptomyces ruber|Streptomyces sp. CA-271078|Streptomyces sp. YP127,10.1002/ejoc.201300349|10.1021/ACS.JNATPROD.7B00211|10.1021/acs.jnatprod.7b00211|10.1021/ja201088k|10.1074/jbc.M611046200|10.1111/1462-2920.14529|10.3390/MD11062113|10.3390/MD14100188|10.3390/md11062113|10.3390/md14100188|10.7164/ANTIBIOTICS.39.487|10.7164/ANTIBIOTICS.39.494|10.7164/ANTIBIOTICS.46.1890|10.7164/antibiotics.39.487,Chainia rubra MGS02-AFI|Marine Bacteria (Unclassified)|Streptomyces|Streptomyces CNH-070|Streptomyces CNQ-329|Streptomyces CNQ-525|Streptomyces SCSIO 10428|Streptomyces aculeolatus|Streptomyces antimycoticus|Streptomyces antimycoticus NT17|Streptomyces aureus|Streptomyces aureus NCTC8325-4|Streptomyces ruber|Streptomyces sp. CA-271078|Streptomyces sp. YP127,Terpenoids,6.71,7.69,4.44,5.31,5.33,5.64,5.65,5.48,5.23,6.39,6.93,7.69,481.4160000000003,6.082300000000006,2,5,2.0,9.01
CNP0497061.1,C=C1[C@@H](C)[C@H]2[C@H](CC3=CC=CC=C3)N=C(O)[C@]23C(=O)/C=C\C2=C(C(=O)CCC[C@@H](C)C/C=C/[C@H]3[C@@H]1O)[C@H](OC)[C@H]1[C@H](O)[C@H](O)[C@@]21C(N)=O,"(1~{S},3~{Z},6~{S},7~{R},8~{S},9~{R},10~{R},16~{R},18~{E},20~{R},21~{S},23~{S},24~{R},25~{S})-25-benzyl-7,8,21,27-tetrahydroxy-10-methoxy-16,23-dimethyl-22-methylene-2,12-dioxo-26-azapentacyclo[18.7.0.0^{1,24}.0^{5,11}.0^{6,9}]heptacosa-3,5(11),18,26-tetraene-6-carboxamide",Organoheterocyclic compounds,Alkaloids,Pseudoalkaloids,Cytochalasan alkaloids,Blumea densiflora|Cirsium arvense|Corallina rubens|Cratoxylum formosum|Dalea elegans|Euonymus grandiflorus|Hygrophila erecta|Hymenocallis arenicola|Relicina samoensis|Streptomyces cyaneofuscatus|Wardomyces inflatus,,Blumea densiflora|Cirsium arvense|Corallina rubens|Cratoxylum formosum|Dalea elegans|Euonymus grandiflorus|Hygrophila erecta|Hymenocallis arenicola|Relicina samoensis|Streptomyces cyaneofuscatus|Wardomyces inflatus,Alkaloids,6.61,7.22,5.41,6.18,5.51,6.06,5.93,5.51,5.22,6.96,6.93,7.22,658.7920000000003,2.9626000000000006,5,8,2.0,9.01
CNP0160516.3,COC1=C(C)C=C(O)C=C1C/C=C(\C)CC(=O)/C=C(\C)CCCC1(C)OC(C)(C)C=CC1=O,,,Polyketides,Meroterpenoids,Tetraketide meroterpenoids,Cystoseira usneoides|Marine,10.1016/0031-9422(92)80372-L|10.1021/NP300833Y|10.1021/np300833y,Cystoseira usneoides|Marine,Polyketides,6.6,7.67,4.63,5.72,5.55,6.02,5.79,5.97,5.47,6.53,6.93,7.67,454.6070000000003,5.966620000000006,1,5,2.0,9.01
CNP0130456.1,COC1=C2C3=C(C4=CC(Cl)=CC=C4N3C)[C@@]3(O)C(=O)N(C)C(=O)[C@@]3(O)N2C2=CC=CC=C12,BE-54017,Organoheterocyclic compounds,Alkaloids,Tryptophan alkaloids,Carboline alkaloids,Streptomyces uncialis|Unknown-fungus sp.,10.1021/ja2022653|10.1371/journal.pone.0023694,Streptomyces uncialis|Unknown-fungus sp.,Alkaloids,6.46,7.65,5.52,6.02,5.48,6.11,6.03,6.07,5.15,6.69,6.93,7.65,451.8660000000002,2.3068999999999997,2,5,2.0,9.01
CNP0212467.1,CC1=CC2=C(C[C@@H]3[C@@]4(C)CCCC(C)(C)[C@@H]4CC[C@@]3(C)O2)C(O)=C1C(=O)O,Hongoquercin A,Phenylpropanoids and polyketides,Polyketides,Meroterpenoids,Tetraketide meroterpenoids,Agaricus|Fungus LL-23G227|Unknown-fungus sp.,10.7164/ANTIBIOTICS.51.708|10.7164/antibiotics.51.635,Agaricus|Fungus LL-23G227|Unknown-fungus sp.,Polyketides,6.22,6.98,4.42,7.39,5.47,5.25,6.11,5.6,4.91,6.42,6.93,7.39,372.50500000000005,5.335020000000005,2,3,2.0,9.01
CNP0352902.2,C=CC(C)(C)C1=CC=C2NC([C@@H](C)CC)C(=O)N[C@H](CO)CC3=CNC1=C32,,Organic acids and derivatives,Alkaloids,Tryptophan alkaloids,Simple indole alkaloids,Marinactinospora thermotolerans,10.1039/c2np20112g,Marinactinospora thermotolerans,Alkaloids,6.67,7.86,5.46,6.25,5.86,5.13,5.58,5.55,5.38,5.44,6.93,7.86,369.5090000000001,3.4913000000000016,4,3,2.0,9.01
CNP0518598.1,CC(C)(O)/C=C/C(O)C1=CC2=C(C(O)=C1O)C(=O)C1=C(O)C=CC=C1O2,,,Polyketides,Xanthones,Methyl xanthones,Unknown-fungus sp.,10.1080/14786419.2018.1556655,Unknown-fungus sp.,Polyketides,6.68,7.58,5.15,6.42,5.22,5.86,5.68,5.35,5.11,6.52,6.93,7.58,358.34600000000006,2.4235000000000007,5,7,2.0,9.01
CNP0591630.0,CN1C(C(=O)N2CCC(O)=C3NC(=N)N=C32)=CC(Br)=C1Br,"(4,5-dibromo-1-methylpyrrol-2-yl)-(7-hydroxy-2-imino-5,6-dihydro-1H-imidazo[4,5-b]pyridin-4-yl)methanone",Organoheterocyclic compounds,Alkaloids,Histidine alkaloids,Imidazole alkaloids,Agelas|Agelas linnaei|agelas sponges,10.1016/J.BMC.2009.12.028|10.1016/j.bmc.2009.12.028,Agelas|Agelas linnaei|agelas sponges,Alkaloids,5.81,7.12,4.73,5.69,5.28,5.79,6.41,6.65,5.37,7.02,6.93,7.12,417.06100000000004,2.10207,3,3,2.0,9.01
CNP0155153.1,C=C1CC[C@H](Br)C(C)(C)[C@@H]1C[C@@]12OC(C)(C)[C@H](Cl)C[C@]1(Cl)C(=O)C1=C(O)C=C(O)C=C1C2=O,Napyradiomycin B3,Organoheterocyclic compounds,Terpenoids,,,Chainia (strain MG802-AF11)|Marine Bacteria (Unclassified)|Streptomyces,10.1021/acs.jnatprod.6b00235|10.7164/ANTIBIOTICS.39.494|10.7164/antibiotics.39.494,Chainia (strain MG802-AF11)|Marine Bacteria (Unclassified)|Streptomyces,Terpenoids,6.77,7.67,4.45,5.79,5.46,5.44,5.93,5.25,5.41,6.34,6.93,7.67,560.3120000000002,6.145500000000006,2,5,2.0,9.01
CNP0204910.0,OC1=CC(Br)=C(Cl)C(Br)=C1OC1=CC=C(Br)C=C1Br,,Benzenoids,Shikimates and Phenylpropanoids,Diphenyl ethers (DPEs),Marine-bacterial DPEs,unidentified sponge,10.1039/np9860300001,unidentified sponge,Shikimates and Phenylpropanoids,6.31,6.96,5.17,5.92,5.29,6.37,6.35,6.66,5.49,7.16,6.93,7.16,536.2390000000001,6.887900000000003,1,2,2.0,9.01
CNP0132865.0,CC1=CC(O)=C(CO)C2=C1C(=O)OC1=C(C)C3=C(C(=O)OC3)C(O)=C1O2,excelsione,Organic oxygen compounds,Polyketides,Aromatic polyketides,Depsidones,Knightia excelsa|Unknown-fungus sp.,10.1021/NP060202U|10.1021/np060202u,Knightia excelsa|Unknown-fungus sp.,Polyketides,6.4,7.64,4.64,6.08,5.46,6.49,5.91,5.42,5.0,6.67,6.93,7.64,358.3020000000001,2.20224,3,8,2.0,9.01
CNP0257985.1,CC(C)[C@H]1[C@H](O)C(=O)C2=CC3=C(CO)[C@@H](O)CC[C@@]3(C)CC[C@@]21C,Guanacastepene C,Organic oxygen compounds,Terpenoids,Diterpenoids,Guanacastane diterpenoids,Unknown-fungus sp. cR115,10.1021/ja016176y,Unknown-fungus sp. cR115,Terpenoids,6.97,7.55,4.39,6.28,5.17,4.97,5.45,5.32,5.12,5.91,6.93,7.55,334.45600000000013,2.3786000000000005,3,4,2.0,9.01
CNP0193842.1,CC(=O)O[C@H]1C(=O)C2=CC3=C(C=O)[C@@H](O)CC[C@@]3(C)CC[C@]2(C)[C@H]1C(C)C,Guanacastepene A,Organic oxygen compounds,Terpenoids,Diterpenoids,Guanacastane diterpenoids,Unknown-fungus sp. CR115,10.7164/antibiotics.53.256,Unknown-fungus sp. CR115,Terpenoids,7.02,7.58,4.4,6.19,5.18,5.37,5.53,5.75,5.13,5.6,6.93,7.58,374.47700000000015,3.1560000000000015,1,5,2.0,9.01
CNP0345891.1,CC(C)[C@H]1C(=O)C2=C3C4=C5C(=CCC[C@@]5(C)CC[C@@]31C)C(=O)N4CCO2,Guanacastepene D,Organoheterocyclic compounds,Terpenoids,Diterpenoids,Guanacastane diterpenoids,Unknown-fungus sp. cR115,10.1021/ja016176y,Unknown-fungus sp. cR115,Terpenoids,7.0,7.46,4.6,6.32,5.41,5.11,5.03,5.25,5.15,6.08,6.93,7.46,353.4620000000001,3.7485000000000026,0,3,2.0,9.01
CNP0355085.2,CC1=C(O)C=C(O)C2=C1[C@H](C)[C@](C)(CO)OC2=O,dothideomynone A,Organoheterocyclic compounds,Shikimates and Phenylpropanoids,Coumarins,Isocoumarins,Unknown-fungus sp. CRI7,10.1016/j.phytochem.2014.09.013,Unknown-fungus sp. CRI7,Shikimates and Phenylpropanoids,6.48,7.66,4.4,5.75,5.22,5.5,5.84,5.23,5.32,6.66,6.93,7.66,252.26599999999996,1.4311199999999995,3,5,2.0,9.01
CNP0352902.1,C=CC(C)(C)C1=CC=C2N[C@@H]([C@@H](C)CC)C(=O)N[C@H](CO)CC3=CNC1=C32,13-N-demethyl-methylpendolmycin,Organic acids and derivatives,Alkaloids,Tryptophan alkaloids,Simple indole alkaloids,Marinactinospora thermotolerans,10.1021/NP200399T|10.1021/np200399t,Marinactinospora thermotolerans,Alkaloids,6.67,7.86,5.46,6.25,5.86,5.13,5.58,5.55,5.38,5.44,6.93,7.86,369.5090000000001,3.4913000000000016,4,3,2.0,9.01
CNP0520685.1,C[C@H](C=C[C@H](C)[C@H](C)CO)[C@H]1CC[C@H]2C3=CC(=O)[C@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,Antcamphin Y,Lipids and lipid-like molecules,Terpenoids,Steroids,Cholestane steroids,Antrodia camphorata|Taiwanofungus camphoratus,10.1080/10286020.2020.1810673,Antrodia camphorata|Taiwanofungus camphoratus,Terpenoids,6.89,7.58,4.4,6.31,5.14,5.18,5.51,5.17,5.15,5.59,6.93,7.58,428.6570000000003,5.562100000000006,2,3,2.0,9.01
CNP0232505.1,CC1=CCC[C@H]2[C@](C)(CC3=CC(O)=CC=C3O)[C@@H](C)CC[C@]12C,Avarol,Benzenoids,Terpenoids,Diterpenoids,Colensane and Clerodane diterpenoids,Dysidea|Dysidea avara|Dysidea villosa|Ircinia spinosula|Marine|Pleraplysilla spinifera|dysidea sp.,10.1002/HLCA.19850680523|10.1007/BF00597852|10.1016/0014-2999(94)90759-5|10.1016/0040-4020(77)88001-0|10.1016/0378-4274(91)90145-V|10.1016/0742-8413(85)90130-6|10.1016/S0040-4020(01)90094-8|10.1016/j.bmcl.2008.11.068|10.1021/JO00050A043|10.1021/NP000003P|10.1021/NP040237Z|10.1021/NP50063A030|10.1021/NP50069A027|10.1021/acs.jnatprod.5b01079|10.1021/acs.jnatprod.6b00367|10.1021/np50063a030|10.1021/np50114a015|10.1071/C96120|10.1248/CPB.38.1121,Dysidea|Dysidea avara|Dysidea villosa|Ircinia spinosula|Marine|Pleraplysilla spinifera|dysidea sp.,Terpenoids,6.24,7.08,5.35,5.8,5.33,5.42,6.2,5.34,5.26,7.47,6.93,7.47,314.46900000000016,5.439100000000006,2,2,2.0,9.01
CNP0324385.1,C=C1CC[C@H]2[C@@](C)(CO)CCC[C@]2(C)[C@H]1CCC1CCOC1=O,"19-Hydroxylabda-8(17)-en-16,15-olide",Lipids and lipid-like molecules,Terpenoids,Diterpenoids,Norlabdane diterpenoids,Antrodia camphorata|Taiwanofungus camphoratus,10.1021/NP0581263|10.1021/np0581263,Antrodia camphorata|Taiwanofungus camphoratus,Terpenoids,6.83,7.64,4.6,6.29,5.27,5.17,5.9,5.24,5.13,5.64,6.92,7.64,320.47300000000007,4.100900000000004,1,3,2.0,9.0
CNP0182066.1,COC1=CC(O)=C2C(=O)C3=C(O)[C@]4(O)C(=O)/C(=C(\C)O)C(=O)C[C@]4(O)[C@@H]4O[C@H](C(C)(C)O)C[C@]34C(=O)C2=C1,seragakinone A,Benzenoids,Polyketides,Polycyclic aromatic polyketides,Anthraquinones and anthrones,unidentified fungus,10.1039/b006897g,unidentified fungus,Polyketides,6.76,7.46,4.36,6.32,5.37,5.74,5.19,5.59,5.1,6.55,6.92,7.46,530.4820000000003,0.35639999999999966,6,12,2.0,9.0
CNP0234425.1,COC1=CC([C@H]2C[C@H]3O[C@H](C)[C@@H](C)C4=C(C)C(O)=CC(=C43)O2)=CC=C1O,Citrifelin B,Phenylpropanoids and polyketides,Polyketides,Chromanes,Azaphilones,Beauveria felina|Penicillium citrinum|fungi Penicillium citrinum + Beauveria felina,10.1021/ACS.JNATPROD.5B00450|10.1021/acs.jnatprod.5b00450|10.1039/c6np00124f,Beauveria felina|Penicillium citrinum|fungi Penicillium citrinum + Beauveria felina,Polyketides,5.9,6.91,5.18,5.59,5.3,6.28,6.01,5.0,5.33,7.58,6.92,7.58,356.41800000000006,4.5019200000000055,2,5,2.0,9.0
CNP0310269.1,O=C1C2=C(C3=NCCC4=CNC1=C34)[C@]1(C=C(Br)[C@@H](O)[C@@H](Br)C1)CCN2,epinardin B,Organoheterocyclic compounds,Alkaloids,Tryptophan alkaloids,Pyrroloquinoline alkaloids,unidentified sponge,10.1039/a815113y,unidentified sponge,Alkaloids,6.85,7.73,4.37,5.64,5.76,5.14,5.81,5.45,5.44,6.19,6.92,7.73,467.1610000000001,2.5969000000000007,3,4,2.0,9.0
